"id","site","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","date","species","overall_infection"
"2326","WDLP","PERO","F",1.643452676,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0,"4/8/18","PECA","Negative"
"2332","JSCP","PERO","M",1.380211242,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"2335","JSCP","NEFU","F",2.522444234,"A",NA,0,0,0,1,3,1,0,0,0,1,3,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,1.38629436111989,0,"4/9/18","NEFU","Negative"
"2349","WP","NEFU","F",2.336459734,"A",0,0,NA,0,0,0,0,1,1,1,1,1,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,0,0.693147180559945,"5/7/18","NEFU","Negative"
"2352/2353","WDLP","NEFU","F",2.376576957,"A",NA,0,NA,0,0,0,0,1,2,1,1,2,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,0,1.09861228866811,"4/8/18","NEFU","Negative"
"2358","CCSP","NEFU","F",2.449478399,"A",0,0,NA,0,1,16,1,1,16,1,2,32,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,2.83321334405622,2.83321334405622,"4/19/18","NEFU","Negative"
"2365","JSCP","PERO","M",1.380211242,"A",0,0,0,0,NA,NA,NA,1,1,1,1,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0.693147180559945,"4/9/18","PETR","Negative"
"2370","WDLP","PERO","M",1.653212514,"A",NA,0,NA,0,0,0,0,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,0,0,"4/8/18","PECA","Negative"
"2378","JSCP","PERO","M",1.414973348,"A",1,0,0,1,NA,NA,NA,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","BARF"
"2385","JSCP","PERO","M",1.397940009,"A",0,0,0,0,NA,NA,NA,1,2,1,1,2,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,1.09861228866811,"4/9/18","PETR","Negative"
"2386","JSCP","PERO","F",1.491361694,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"2387","JSCP","PERO","M",1.447158031,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"2388","JSCP","NEFU","F",2.447158031,"A",0,1,1,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0,"4/9/18","NEFU","BBSL"
