"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","data","date","data_type"
"CCSP","2358","NEFU","F",2.449478399,"A",0,0,NA,0,1,16,1,1,16,1,2,32,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,2.83321334405622,2.83321334405622,84.8209991455078,"2018-04-01","ppt"
"CCSP","2358","NEFU","F",2.449478399,"A",0,0,NA,0,1,16,1,1,16,1,2,32,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,2.83321334405622,2.83321334405622,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","2358","NEFU","F",2.449478399,"A",0,0,NA,0,1,16,1,1,16,1,2,32,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,2.83321334405622,2.83321334405622,13.9700002670288,"2018-04-01","tmean"
"CCSP","3201","NEFU","M",2.45484486,"A",0,1,NA,1,NA,NA,NA,1,9,1,2,9,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.30258509299405,84.8209991455078,"2018-04-01","ppt"
"CCSP","3201","NEFU","M",2.45484486,"A",0,1,NA,1,NA,NA,NA,1,9,1,2,9,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.30258509299405,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3201","NEFU","M",2.45484486,"A",0,1,NA,1,NA,NA,NA,1,9,1,2,9,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.30258509299405,13.9700002670288,"2018-04-01","tmean"
"CCSP","3202","PERO","M",1.371067862,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,84.8209991455078,"2018-04-01","ppt"
"CCSP","3202","PERO","M",1.371067862,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3202","PERO","M",1.371067862,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,13.9700002670288,"2018-04-01","tmean"
"CCSP","3203","NEFU","M",2.383815366,"A",0,0,NA,0,0,0,0,1,9,1,1,9,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,2.30258509299405,84.8209991455078,"2018-04-01","ppt"
