"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log"
"SMI","A296","MICA","M",1.562292864,"A",NA,1,NA,1,0,0,0,0,0,0,1,0,-2.9347012,-1.89923339,-0.4826055,-3.94116592,-1.7291196,-0.92651764,0,0
"WP","2349","NEFU","F",2.336459734,"A",0,0,NA,0,0,0,0,1,1,1,1,1,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,0,0.693147180559945
"WP","3226","PERO","M",1.607455023,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,NA,0
"WP","3250","PERO","F",1.672097858,"A",NA,0,NA,0,1,6,3,1,1,1,4,7,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,1.94591014905531,0.693147180559945
"WP","A256","NEFU","M",1.991226076,"J",NA,0,NA,0,0,0,0,0,0,0,0,0,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,0,0
"WP","A312","PERO","M",1.568201724,"A",NA,0,NA,0,0,0,0,0,0,0,0,0,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,0,0
"WP","A37","PERO","F",1.556302501,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,NA,0
"WP","A40","NEFU","F",2.353146546,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,NA,0
"WP","A41","NEFU","F",2.369215857,"A",NA,0,NA,0,1,5,2,0,0,0,2,5,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,1.79175946922805,0
"WP","A569","NEFU","M",2.161368002,"J",NA,0,NA,0,1,3,1,0,0,0,1,3,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,1.38629436111989,0
"WP","A570","PERO","F",1.681241237,"A",0,0,NA,0,NA,NA,NA,0,0,0,0,0,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,NA,0
"WP","A60","MICA","F",1.602059991,"A",0,0,NA,0,1,1,1,0,0,0,1,1,-2.067145,-1.41983012,1.5102113,0.71072504,0.7281536,-0.93062244,0.693147180559945,0
